interview_id,candidate_id,stage,stage_date,status,outcome,feedback_score,interviewer
36,16,Technical Assessment,2024-04-19,Rejected,Did not meet requirements,,
37,17,Application,2023-12-30,In Progress,Advancing to next stage,,
38,17,Phone Screen,2023-12-30,Rejected,Did not meet requirements,,
39,18,Application,2023-06-25,Rejected,Other,,
40,19,Application,2024-04-18,In Progress,Advancing to next stage,,
41,19,Phone Screen,2024-04-18,Rejected,Did not meet requirements,,
42,20,Application,2023-08-13,Rejected,Other,,
43,21,Application,2023-02-02,In Progress,Advancing to next stage,,
44,21,Phone Screen,2023-02-02,Rejected,Did not meet requirements,,
45,22,Application,2023-03-09,Rejected,Other,,
46,24,Application,2023-05-27,In Progress,Advancing to next stage,,
47,24,Phone Screen,2023-05-27,Rejected,Did not meet requirements,,
48,25,Application,2023-09-27,In Progress,Advancing to next stage,,
49,25,Phone Screen,2023-09-27,Rejected,Did not meet requirements,,
50,27,Application,2024-06-05,In Progress,Advancing to next stage,,
51,27,Phone Screen,2024-06-05,Rejected,Did not meet requirements,,
52,28,Application,2023-04-23,Rejected,Other,,
53,29,Application,2024-03-08,Rejected,Other,,
54,30,Application,2024-01-26,Rejected,Other,,
55,31,Application,2023-09-15,In Progress,Advancing to next stage,,
56,31,Phone Screen,2023-09-15,Rejected,Did not meet requirements,,
57,32,Application,2023-04-28,In Progress,Advancing to next stage,,
58,32,Phone Screen,2023-04-28,Rejected,Did not meet requirements,,
59,33,Application,2023-04-25,Rejected,Other,,
60,34,Application,2024-04-09,In Progress,Advancing to next stage,,
61,34,Phone Screen,2024-04-16,Rejected,Not a culture fit,2.0,Jacob Pearson
62,35,Application,2024-06-03,In Progress,Advancing to next stage,,
63,35,Phone Screen,2024-06-03,Rejected,Did not meet requirements,,
64,36,Application,2024-06-03,In Progress,Advancing to next stage,,
65,36,Phone Screen,2024-06-11,Rejected,Insufficient experience,3.0,Charles Gonzalez
66,38,Application,2023-11-28,In Progress,Advancing to next stage,,
67,38,Phone Screen,2023-11-28,Rejected,Did not meet requirements,,
68,39,Application,2024-01-07,Rejected,Other,,
69,40,Application,2023-09-04,Rejected,Other,,
70,41,Application,2024-05-12,Rejected,Other,,
71,42,Application,2023-05-12,Rejected,Other,,
72,44,Application,2023-08-05,Rejected,Other,,
73,45,Application,2023-11-16,Rejected,Other,,
74,47,Application,2023-08-19,Rejected,Other,,
75,48,Application,2023-08-24,Rejected,Other,,
76,49,Application,2023-03-14,In Progress,Advancing to next stage,,
77,49,Phone Screen,2023-03-14,Rejected,Did not meet requirements,,
78,50,Application,2023-02-02,In Progress,Advancing to next stage,,
79,50,Phone Screen,2023-02-02,Rejected,Did not meet requirements,,
80,51,Application,2023-09-01,In Progress,Advancing to next stage,,
81,51,Phone Screen,2023-09-01,Rejected,Did not meet requirements,,
82,52,Application,2023-05-16,Rejected,Other,,
83,53,Application,2023-09-06,Rejected,Other,,
84,55,Application,2024-03-09,Rejected,Other,,
85,57,Application,2023-04-22,Rejected,Other,,
86,58,Application,2024-04-04,Rejected,Other,,
87,59,Application,2023-10-13,Rejected,Other,,
88,60,Application,2024-03-29,Rejected,Other,,
89,61,Application,2023-01-16,In Progress,Advancing to next stage,,
90,61,Phone Screen,2023-01-16,Rejected,Did not meet requirements,,
91,63,Application,2024-02-15,In Progress,Advancing to next stage,,
92,63,Phone Screen,2024-02-19,In Progress,Advancing to next stage,4.0,Ashley Blackburn
93,63,Technical Assessment,2024-02-22,In Progress,Advancing to next stage,,
94,63,First Interview,2024-03-01,In Progress,Advancing to next stage,5.0,Micheal West
95,63,Final Interview,2024-03-12,In Progress,Advancing to next stage,5.0,Lisa Doyle
96,63,Reference Check,2024-03-14,In Progress,Advancing to next stage,,
97,63,Offer Extended,2024-03-18,In Progress,Advancing to next stage,,
98,63,Hired,2024-03-18,Rejected,Did not meet requirements,,
99,64,Application,2023-01-03,In Progress,Advancing to next stage,,
100,64,Phone Screen,2023-01-03,Rejected,Did not meet requirements,,
101,65,Application,2023-10-20,Rejected,Other,,
102,66,Application,2023-06-08,In Progress,Advancing to next stage,,
103,66,Phone Screen,2023-06-13,In Progress,Advancing to next stage,5.0,Melanie Oliver
104,66,Technical Assessment,2023-06-14,In Progress,Advancing to next stage,,
105,66,First Interview,2023-06-16,Rejected,Better candidate found,1.0,Angela Gonzales
106,67,Application,2023-03-01,Rejected,Other,,
107,68,Application,2023-11-18,Rejected,Other,,
108,70,Application,2024-06-04,Rejected,Other,,
109,72,Application,2023-09-10,Rejected,Other,,
110,73,Application,2023-03-25,Rejected,Other,,
111,74,Application,2024-06-19,Rejected,Other,,
112,75,Application,2023-11-18,In Progress,Advancing to next stage,,
113,75,Phone Screen,2023-11-18,Rejected,Did not meet requirements,,
114,77,Application,2023-03-16,Rejected,Other,,
115,78,Application,2023-04-13,Rejected,Other,,
116,79,Application,2024-06-02,Rejected,Other,,
117,80,Application,2023-03-12,In Progress,Advancing to next stage,,
118,80,Phone Screen,2023-03-19,In Progress,Advancing to next stage,4.0,Pamela Sanchez
119,80,Technical Assessment,2023-03-24,In Progress,Advancing to next stage,,
120,80,First Interview,2023-03-28,Rejected,Better candidate found,1.0,Martin Newton
121,81,Application,2023-06-11,Rejected,Other,,
122,83,Application,2023-04-17,Rejected,Other,,
123,84,Application,2023-04-20,Rejected,Other,,
124,85,Application,2023-10-16,In Progress,Advancing to next stage,,
125,85,Phone Screen,2023-10-24,In Progress,Advancing to next stage,5.0,Andre Dillon MD
126,85,Technical Assessment,2023-10-24,Rejected,Did not meet requirements,,
127,86,Application,2023-12-18,Rejected,Other,,
128,87,Application,2024-05-15,In Progress,Advancing to next stage,,
129,87,Phone Screen,2024-05-15,Rejected,Did not meet requirements,,
130,88,Application,2024-03-09,Rejected,Other,,
131,89,Application,2023-12-08,Rejected,Other,,
132,90,Application,2024-03-28,In Progress,Advancing to next stage,,
133,90,Phone Screen,2024-03-28,Rejected,Did not meet requirements,,
134,91,Application,2023-04-25,Rejected,Other,,
135,92,Application,2023-02-06,In Progress,Advancing to next stage,,
136,92,Phone Screen,2023-02-06,Rejected,Did not meet requirements,,
137,93,Application,2023-06-01,Rejected,Other,,
138,95,Application,2023-08-04,Rejected,Other,,
139,96,Application,2024-02-21,Rejected,Other,,
140,97,Application,2023-06-16,Rejected,Other,,
141,98,Application,2023-07-03,In Progress,Advancing to next stage,,
142,98,Phone Screen,2023-07-07,In Progress,Advancing to next stage,5.0,Christopher Jones
143,98,Technical Assessment,2023-07-08,Rejected,Did not attend,,
144,99,Application,2023-10-01,Rejected,Other,,
145,101,Application,2024-04-16,In Progress,Advancing to next stage,,
146,101,Phone Screen,2024-04-26,Rejected,Insufficient experience,2.0,Miguel Pena
147,102,Application,2023-08-17,In Progress,Advancing to next stage,,
148,102,Phone Screen,2023-08-17,Rejected,Did not meet requirements,,
149,103,Application,2023-12-03,In Progress,Advancing to next stage,,
150,103,Phone Screen,2023-12-03,Rejected,Did not meet requirements,,
151,104,Application,2023-12-26,Rejected,Other,,
152,105,Application,2023-01-29,In Progress,Advancing to next stage,,
153,105,Phone Screen,2023-02-07,In Progress,Advancing to next stage,4.0,Ryan Lawson
154,105,Technical Assessment,2023-02-07,Rejected,Did not meet requirements,,
155,106,Application,2023-09-29,Rejected,Other,,
156,107,Application,2023-12-20,In Progress,Advancing to next stage,,
157,107,Phone Screen,2023-12-20,Rejected,Did not meet requirements,,
158,108,Application,2024-06-07,Rejected,Other,,
159,110,Application,2023-01-02,Rejected,Other,,
160,111,Application,2023-07-21,In Progress,Advancing to next stage,,
161,111,Phone Screen,2023-07-21,Rejected,Did not meet requirements,,
162,112,Application,2023-12-05,Rejected,Other,,
163,113,Application,2023-05-08,In Progress,Advancing to next stage,,
164,113,Phone Screen,2023-05-15,Rejected,Salary expectations too high,1.0,David Williams
165,114,Application,2024-02-23,Rejected,Other,,
166,116,Application,2023-06-28,Rejected,Other,,
167,117,Application,2024-02-20,In Progress,Advancing to next stage,,
168,117,Phone Screen,2024-02-20,Rejected,Did not meet requirements,,
169,118,Application,2023-10-21,Rejected,Other,,
170,119,Application,2023-11-26,In Progress,Advancing to next stage,,
171,119,Phone Screen,2023-11-26,Rejected,Did not meet requirements,,
172,120,Application,2023-08-07,Rejected,Other,,
173,121,Application,2023-03-28,Rejected,Other,,
174,122,Application,2023-12-10,Rejected,Other,,
175,123,Application,2023-08-19,In Progress,Advancing to next stage,,
176,123,Phone Screen,2023-08-19,Rejected,Did not meet requirements,,
177,124,Application,2023-02-17,Rejected,Other,,
178,125,Application,2023-03-16,In Progress,Advancing to next stage,,
179,125,Phone Screen,2023-03-16,Rejected,Did not meet requirements,,
180,126,Application,2024-01-29,Rejected,Other,,
181,127,Application,2023-06-01,In Progress,Advancing to next stage,,
182,127,Phone Screen,2023-06-04,In Progress,Advancing to next stage,5.0,Mark Johnson
183,127,Technical Assessment,2023-06-07,In Progress,Advancing to next stage,,
184,127,First Interview,2023-06-15,Rejected,Insufficient technical skills,2.0,Rebecca Perez
185,128,Application,2023-08-13,In Progress,Advancing to next stage,,
186,128,Phone Screen,2023-08-13,Rejected,Did not meet requirements,,
187,129,Application,2023-02-21,Rejected,Other,,
188,130,Application,2024-04-12,Rejected,Other,,
189,131,Application,2024-06-27,Rejected,Other,,
190,132,Application,2024-03-29,Rejected,Other,,
191,133,Application,2024-04-01,In Progress,Advancing to next stage,,
192,133,Phone Screen,2024-04-01,Rejected,Did not meet requirements,,
193,135,Application,2023-09-02,In Progress,Advancing to next stage,,
194,135,Phone Screen,2023-09-02,Rejected,Did not meet requirements,,
195,136,Application,2023-10-20,In Progress,Advancing to next stage,,
196,136,Phone Screen,2023-10-29,Rejected,Not a culture fit,3.0,Kathryn Thomas
197,138,Application,2023-06-04,Rejected,Other,,
198,139,Application,2023-08-08,In Progress,Advancing to next stage,,
199,139,Phone Screen,2023-08-11,In Progress,Advancing to next stage,5.0,Crystal Abbott
200,139,Technical Assessment,2023-08-11,Rejected,Did not meet requirements,,
201,140,Application,2023-12-05,Rejected,Other,,
202,141,Application,2023-03-05,Rejected,Other,,
203,142,Application,2023-01-21,In Progress,Advancing to next stage,,
204,142,Phone Screen,2023-01-21,Rejected,Did not meet requirements,,
205,143,Application,2023-01-07,Rejected,Other,,
206,144,Application,2024-03-05,Rejected,Other,,
207,145,Application,2023-08-14,Rejected,Other,,
208,146,Application,2024-03-22,In Progress,Advancing to next stage,,
209,146,Phone Screen,2024-03-22,Rejected,Did not meet requirements,,
210,147,Application,2023-12-11,Rejected,Other,,
211,148,Application,2023-05-11,Rejected,Other,,
212,149,Application,2024-02-08,In Progress,Advancing to next stage,,
213,149,Phone Screen,2024-02-14,In Progress,Advancing to next stage,5.0,Alexandra Hodge
214,149,Technical Assessment,2024-02-15,In Progress,Advancing to next stage,,
215,149,First Interview,2024-02-15,Rejected,Did not meet requirements,,
216,150,Application,2023-01-28,Rejected,Other,,
217,151,Application,2024-04-17,Rejected,Other,,
218,152,Application,2024-01-24,Rejected,Other,,
219,153,Application,2023-12-01,Rejected,Other,,
220,154,Application,2024-03-07,Rejected,Other,,
221,155,Application,2023-01-20,Rejected,Other,,
222,156,Application,2023-08-18,In Progress,Advancing to next stage,,
223,156,Phone Screen,2023-08-18,Rejected,Did not meet requirements,,
224,157,Application,2023-09-11,Rejected,Other,,
225,158,Application,2023-09-02,Rejected,Other,,
226,160,Application,2023-06-21,In Progress,Advancing to next stage,,
227,160,Phone Screen,2023-06-21,Rejected,Did not meet requirements,,
228,161,Application,2023-06-17,Rejected,Other,,
229,162,Application,2023-01-27,In Progress,Advancing to next stage,,
230,162,Phone Screen,2023-01-27,Rejected,Did not meet requirements,,
231,163,Application,2024-02-11,Rejected,Other,,
232,164,Application,2023-09-06,Rejected,Other,,
233,167,Application,2024-06-02,Rejected,Other,,
234,168,Application,2024-05-16,Rejected,Other,,
235,169,Application,2024-04-15,In Progress,Advancing to next stage,,
236,169,Phone Screen,2024-04-15,Rejected,Did not meet requirements,,
237,171,Application,2024-04-21,In Progress,Advancing to next stage,,
238,171,Phone Screen,2024-04-21,Rejected,Did not meet requirements,,
239,172,Application,2023-11-27,Rejected,Other,,
240,173,Application,2024-04-06,Rejected,Other,,
241,174,Application,2024-01-24,Rejected,Other,,
242,177,Application,2023-10-10,In Progress,Advancing to next stage,,
243,177,Phone Screen,2023-10-13,Rejected,Communication issues,2.0,Rachel Yang
244,178,Application,2023-07-15,Rejected,Other,,
245,179,Application,2024-05-15,Rejected,Other,,
246,181,Application,2023-10-29,Rejected,Other,,
247,182,Application,2023-09-07,Rejected,Other,,
248,183,Application,2024-04-29,Rejected,Other,,
249,184,Application,2024-03-11,In Progress,Advancing to next stage,,
250,184,Phone Screen,2024-03-11,Rejected,Did not meet requirements,,
251,185,Application,2024-04-09,In Progress,Advancing to next stage,,
252,185,Phone Screen,2024-04-19,In Progress,Advancing to next stage,5.0,Michelle Sanders
253,185,Technical Assessment,2024-04-21,In Progress,Advancing to next stage,,
254,185,First Interview,2024-04-21,Rejected,Did not meet requirements,,
255,186,Application,2023-08-25,In Progress,Advancing to next stage,,
256,186,Phone Screen,2023-08-25,Rejected,Did not meet requirements,,
257,187,Application,2023-05-03,Rejected,Other,,
258,188,Application,2023-08-10,In Progress,Advancing to next stage,,
259,188,Phone Screen,2023-08-20,In Progress,Advancing to next stage,4.0,Dustin Stein
260,188,Technical Assessment,2023-08-22,In Progress,Advancing to next stage,,
261,188,First Interview,2023-08-30,In Progress,Advancing to next stage,5.0,Haley Jackson
262,188,Final Interview,2023-09-08,Rejected,Not the right fit,2.0,Thomas Moses
263,189,Application,2023-04-13,Rejected,Other,,
264,190,Application,2024-01-05,Rejected,Other,,
265,191,Application,2023-05-10,Rejected,Other,,
266,192,Application,2023-10-27,In Progress,Advancing to next stage,,
267,192,Phone Screen,2023-10-27,Rejected,Did not meet requirements,,
268,194,Application,2024-05-05,Rejected,Other,,
269,195,Application,2023-02-22,Rejected,Other,,
270,196,Application,2023-03-08,Rejected,Other,,
271,197,Application,2023-02-24,In Progress,Advancing to next stage,,
272,197,Phone Screen,2023-02-24,Rejected,Did not meet requirements,,
273,198,Application,2023-11-08,Rejected,Other,,
274,199,Application,2024-03-02,Rejected,Other,,
275,200,Application,2024-06-19,In Progress,Advancing to next stage,,
276,200,Phone Screen,2024-06-19,Rejected,Did not meet requirements,,
277,201,Application,2023-11-01,Rejected,Other,,
278,202,Application,2023-03-03,In Progress,Advancing to next stage,,
279,202,Phone Screen,2023-03-03,Rejected,Did not meet requirements,,
280,204,Application,2023-09-03,Rejected,Other,,
281,205,Application,2023-06-10,In Progress,Advancing to next stage,,
282,205,Phone Screen,2023-06-10,Rejected,Did not meet requirements,,
283,206,Application,2024-04-26,Rejected,Other,,
284,207,Application,2023-10-23,Rejected,Other,,
285,209,Application,2024-03-11,Rejected,Other,,
286,210,Application,2023-06-02,In Progress,Advancing to next stage,,
287,210,Phone Screen,2023-06-02,Rejected,Did not meet requirements,,
288,212,Application,2024-03-25,In Progress,Advancing to next stage,,
289,212,Phone Screen,2024-03-25,Rejected,Did not meet requirements,,
290,213,Application,2024-02-17,Rejected,Other,,
291,214,Application,2024-05-20,In Progress,Advancing to next stage,,
292,214,Phone Screen,2024-05-29,In Progress,Advancing to next stage,4.0,Jeffrey Petersen
293,214,Technical Assessment,2024-05-29,Rejected,Did not meet requirements,,
294,215,Application,2023-02-10,Rejected,Other,,
295,216,Application,2023-09-14,Rejected,Other,,
296,217,Application,2023-01-22,Rejected,Other,,
297,218,Application,2023-06-29,In Progress,Advancing to next stage,,
298,218,Phone Screen,2023-07-08,In Progress,Advancing to next stage,3.0,Joseph Ward
299,218,Technical Assessment,2023-07-09,In Progress,Advancing to next stage,,
300,218,First Interview,2023-07-09,Rejected,Did not meet requirements,,
301,219,Application,2023-10-12,Rejected,Other,,
302,220,Application,2024-05-18,Rejected,Other,,
303,221,Application,2024-02-23,In Progress,Advancing to next stage,,
304,221,Phone Screen,2024-02-23,Rejected,Did not meet requirements,,
305,223,Application,2024-05-22,Rejected,Other,,
306,224,Application,2023-02-07,Rejected,Other,,
307,226,Application,2024-06-10,Rejected,Other,,
308,227,Application,2024-02-28,Rejected,Other,,
309,228,Application,2024-01-06,Rejected,Other,,
310,229,Application,2023-02-22,In Progress,Advancing to next stage,,
311,229,Phone Screen,2023-02-22,Rejected,Did not meet requirements,,
312,230,Application,2023-05-15,Rejected,Other,,
313,231,Application,2023-05-05,Rejected,Other,,
314,233,Application,2024-02-22,In Progress,Advancing to next stage,,
315,233,Phone Screen,2024-02-22,Rejected,Did not meet requirements,,
316,234,Application,2024-04-17,Rejected,Other,,
317,235,Application,2023-10-26,Rejected,Other,,
318,237,Application,2023-05-29,Rejected,Other,,
319,238,Application,2024-06-04,In Progress,Advancing to next stage,,
320,238,Phone Screen,2024-06-04,Rejected,Did not meet requirements,,
321,239,Application,2024-02-29,In Progress,Advancing to next stage,,
322,239,Phone Screen,2024-03-07,In Progress,Advancing to next stage,4.0,Lance Robinson
323,239,Technical Assessment,2024-03-09,In Progress,Advancing to next stage,,
324,239,First Interview,2024-03-09,Rejected,Did not meet requirements,,
325,243,Application,2024-04-11,In Progress,Advancing to next stage,,
326,243,Phone Screen,2024-04-16,In Progress,Advancing to next stage,4.0,Kristen Smith
327,243,Technical Assessment,2024-04-16,Rejected,Did not meet requirements,,
328,245,Application,2023-11-22,Rejected,Other,,
329,246,Application,2023-06-05,Rejected,Other,,
330,247,Application,2024-05-29,Rejected,Other,,
331,248,Application,2024-03-26,Rejected,Other,,
332,249,Application,2023-01-16,In Progress,Advancing to next stage,,
333,249,Phone Screen,2023-01-16,Rejected,Did not meet requirements,,
334,250,Application,2023-03-18,Rejected,Other,,
335,251,Application,2024-02-12,In Progress,Advancing to next stage,,
336,251,Phone Screen,2024-02-19,Rejected,Not a culture fit,1.0,Nicole Mcbride
337,254,Application,2023-10-22,In Progress,Advancing to next stage,,
338,254,Phone Screen,2023-10-27,In Progress,Advancing to next stage,4.0,Daisy Larson
339,254,Technical Assessment,2023-11-01,In Progress,Advancing to next stage,,
340,254,First Interview,2023-11-08,In Progress,Advancing to next stage,4.0,Jesus Shaw
341,254,Final Interview,2023-11-08,Rejected,Did not meet requirements,,
342,255,Application,2023-04-11,Rejected,Other,,
343,256,Application,2023-11-03,Rejected,Other,,
344,258,Application,2024-03-17,In Progress,Advancing to next stage,,
345,258,Phone Screen,2024-03-17,Rejected,Did not meet requirements,,
346,259,Application,2024-02-26,In Progress,Advancing to next stage,,
347,259,Phone Screen,2024-03-07,In Progress,Advancing to next stage,3.0,Shelly Moss
348,259,Technical Assessment,2024-03-07,Rejected,Did not meet requirements,,
349,260,Application,2023-06-29,In Progress,Advancing to next stage,,
350,260,Phone Screen,2023-07-03,Rejected,Insufficient experience,3.0,Laura Coleman
351,261,Application,2023-09-04,In Progress,Advancing to next stage,,
352,261,Phone Screen,2023-09-04,Rejected,Did not meet requirements,,
353,262,Application,2023-08-26,In Progress,Advancing to next stage,,
354,262,Phone Screen,2023-08-26,Rejected,Did not meet requirements,,
355,263,Application,2023-09-19,Rejected,Other,,
356,264,Application,2023-06-11,Rejected,Other,,
357,266,Application,2023-11-06,Rejected,Other,,
358,267,Application,2023-04-20,Rejected,Other,,
359,268,Application,2024-01-03,In Progress,Advancing to next stage,,
360,268,Phone Screen,2024-01-10,In Progress,Advancing to next stage,4.0,Kayla Moore
361,268,Technical Assessment,2024-01-12,In Progress,Advancing to next stage,,
362,268,First Interview,2024-01-17,Rejected,Not a culture fit,2.0,Melissa Brown
363,269,Application,2023-01-23,Rejected,Other,,
364,270,Application,2023-02-20,Rejected,Other,,
365,271,Application,2023-08-24,Rejected,Other,,
366,272,Application,2023-07-14,Rejected,Other,,
367,273,Application,2023-04-10,Rejected,Other,,
368,274,Application,2023-02-04,Rejected,Other,,
369,275,Application,2023-04-03,In Progress,Advancing to next stage,,
370,275,Phone Screen,2023-04-13,Rejected,Salary expectations too high,1.0,Emily Riley MD
371,276,Application,2023-06-29,In Progress,Advancing to next stage,,
372,276,Phone Screen,2023-06-29,Rejected,Did not meet requirements,,
373,277,Application,2024-01-10,Rejected,Other,,
374,278,Application,2023-06-18,In Progress,Advancing to next stage,,
375,278,Phone Screen,2023-06-18,Rejected,Did not meet requirements,,
376,279,Application,2023-12-13,In Progress,Advancing to next stage,,
377,279,Phone Screen,2023-12-13,Rejected,Did not meet requirements,,
378,281,Application,2024-01-10,Rejected,Other,,
379,283,Application,2024-01-13,Rejected,Other,,
380,284,Application,2024-01-16,Rejected,Other,,
381,286,Application,2023-08-15,Rejected,Other,,
382,287,Application,2023-11-06,In Progress,Advancing to next stage,,
383,287,Phone Screen,2023-11-06,Rejected,Did not meet requirements,,
384,288,Application,2023-02-16,Rejected,Other,,
385,290,Application,2023-05-19,In Progress,Advancing to next stage,,
386,290,Phone Screen,2023-05-19,Rejected,Did not meet requirements,,
387,291,Application,2024-03-05,Rejected,Other,,
388,292,Application,2023-04-12,In Progress,Advancing to next stage,,
389,292,Phone Screen,2023-04-18,In Progress,Advancing to next stage,4.0,Donald Cole
390,292,Technical Assessment,2023-04-18,Rejected,Did not meet requirements,,
391,293,Application,2023-10-14,Rejected,Other,,
392,294,Application,2024-03-30,Rejected,Other,,
393,296,Application,2023-03-04,Rejected,Other,,
394,297,Application,2023-05-06,Rejected,Other,,
395,298,Application,2023-01-22,Rejected,Other,,
396,299,Application,2023-05-09,Rejected,Other,,
397,300,Application,2023-08-01,Rejected,Other,,
398,301,Application,2023-12-03,Rejected,Other,,
399,302,Application,2023-10-11,Rejected,Other,,
400,303,Application,2023-09-14,Rejected,Other,,
401,305,Application,2023-09-01,Rejected,Other,,
402,306,Application,2023-06-28,Rejected,Other,,
403,308,Application,2024-05-02,Rejected,Other,,
404,309,Application,2023-04-22,Rejected,Other,,
405,310,Application,2023-02-14,Rejected,Other,,
406,311,Application,2023-02-01,Rejected,Other,,
407,312,Application,2024-03-12,Rejected,Other,,
408,313,Application,2024-03-30,In Progress,Advancing to next stage,,
409,313,Phone Screen,2024-03-30,Rejected,Did not meet requirements,,
410,314,Application,2023-06-01,In Progress,Advancing to next stage,,
411,314,Phone Screen,2023-06-11,In Progress,Advancing to next stage,4.0,James Johnson
412,314,Technical Assessment,2023-06-11,Rejected,Did not meet requirements,,
413,315,Application,2023-11-29,In Progress,Advancing to next stage,,
414,315,Phone Screen,2023-11-29,Rejected,Did not meet requirements,,
415,316,Application,2023-10-29,Rejected,Other,,
416,317,Application,2024-03-16,Rejected,Other,,
417,319,Application,2024-02-28,In Progress,Advancing to next stage,,
418,319,Phone Screen,2024-02-28,Rejected,Did not meet requirements,,
419,320,Application,2024-03-01,Rejected,Other,,
420,321,Application,2023-11-17,Rejected,Other,,
421,322,Application,2024-04-30,Rejected,Other,,
422,323,Application,2023-04-06,Rejected,Other,,
423,324,Application,2023-05-14,In Progress,Advancing to next stage,,
424,324,Phone Screen,2023-05-18,In Progress,Advancing to next stage,5.0,Nicholas George
425,324,Technical Assessment,2023-05-20,In Progress,Advancing to next stage,,
426,324,First Interview,2023-05-23,In Progress,Advancing to next stage,5.0,Jane King
427,324,Final Interview,2023-06-01,In Progress,Advancing to next stage,4.0,Tanner Decker
428,324,Reference Check,2023-06-04,In Progress,Advancing to next stage,,
429,324,Offer Extended,2023-06-07,In Progress,Advancing to next stage,,
430,324,Hired,2023-06-15,Completed,Hired,,
431,325,Application,2023-12-04,In Progress,Advancing to next stage,,
432,325,Phone Screen,2023-12-04,Rejected,Did not meet requirements,,
433,326,Application,2024-03-09,Rejected,Other,,
434,327,Application,2023-11-16,In Progress,Advancing to next stage,,
435,327,Phone Screen,2023-11-16,Rejected,Did not meet requirements,,
436,329,Application,2023-08-18,Rejected,Other,,
437,330,Application,2024-01-12,Rejected,Other,,
438,331,Application,2024-03-15,Rejected,Other,,
439,332,Application,2023-10-01,Rejected,Other,,
440,333,Application,2023-11-13,In Progress,Advancing to next stage,,
441,333,Phone Screen,2023-11-13,Rejected,Did not meet requirements,,
442,334,Application,2023-07-05,In Progress,Advancing to next stage,,
443,334,Phone Screen,2023-07-15,In Progress,Advancing to next stage,5.0,Leslie Martin
444,334,Technical Assessment,2023-07-20,Rejected,Did not attend,,
445,335,Application,2023-03-13,Rejected,Other,,
446,336,Application,2024-06-27,Rejected,Other,,
447,337,Application,2024-04-09,In Progress,Advancing to next stage,,
448,337,Phone Screen,2024-04-09,Rejected,Did not meet requirements,,
449,338,Application,2023-11-16,In Progress,Advancing to next stage,,
450,338,Phone Screen,2023-11-16,Rejected,Did not meet requirements,,
451,339,Application,2023-03-28,In Progress,Advancing to next stage,,
452,339,Phone Screen,2023-04-03,In Progress,Advancing to next stage,4.0,Keith Garcia
453,339,Technical Assessment,2023-04-04,In Progress,Advancing to next stage,,
454,339,First Interview,2023-04-11,Rejected,Poor communication,3.0,Victoria Keller
455,340,Application,2023-02-20,Rejected,Other,,
456,342,Application,2024-02-29,Rejected,Other,,
457,343,Application,2023-12-20,In Progress,Advancing to next stage,,
458,343,Phone Screen,2023-12-26,In Progress,Advancing to next stage,5.0,Mr. Robert Acevedo MD
459,343,Technical Assessment,2023-12-26,Rejected,Did not meet requirements,,
460,344,Application,2024-05-13,In Progress,Advancing to next stage,,
461,344,Phone Screen,2024-05-13,Rejected,Did not meet requirements,,
